cca-angular,cca-angular-score,cka,cka-angular,cka-angular-score,ensd,linreg,linreg-angular,linreg-angular-cv,linreg-cv,linreg-r2#5folds_cv,linreg-r2#no_cv,nbs,nbs-angular,nbs-angular-score,nbs-squared,procrustes-angular,procrustes-angular#5folds_cv,procrustes-angular-cv,procrustes-angular-cv-score,procrustes-angular-score,procrustes-angular-score#5folds_cv,procrustes-euclidean,procrustes-euclidean-score,ridge-lambda1-r2#5folds_cv,ridge-lambda1-r2#no_cv,ridge-lambda10-r2#5folds_cv,ridge-lambda10-r2#no_cv,ridge-lambda100-r2#5folds_cv,ridge-lambda100-r2#no_cv,rsa-correlation-corr
,,,,,,,,,,0.099392899476132,,,,,,,,,,,,,,0.017217612752253655,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024550605565309525,0.02332061342895031,0.0,1.3322676295501878e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.008353033103048801,0.005959474015980959,0.0,0.0,0.0,0.0,0.0,3.7747582837255325e-17,0.0,6.661338147750939e-18,0.0,4.440892098500626e-18,0.0
,,,,,,,,,,,,2.6645352591003756e-16,,,,2.1760371282653068e-16,,,,1.0880185641326534e-16,,8.455458555545192e-15,,,,,,,,
1.9539925233402755e-16,1.3988810110276973e-16,7.216449660063518e-17,8.43769498715119e-17,4.884981308350689e-17,,,,,,,,2.742250870824137e-16,,,,1.9095836023552692e-16,,,,1.3100631690576846e-16,,8.881784197001252e-15,,,,,,,,
,,4.662936703425657e-17,9.769962616701378e-17,7.105427357601002e-17,,,,,,,,1.3132527093562274e-08,,,,1.4556654752695409e-08,,,,9.268971619125211e-09,,3.5129674543554754e-07,,,,,,,,
3.628333308025589e-08,3.3135729204936124e-08,,,,,,,,,,,4.2280726438859164e-08,,,,3.7889058082107855e-08,,,,2.6889798079299254e-08,,3.4138010476425506e-06,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20128556689230798
2.1760371282653068e-16,1.5765166949677222e-16,7.494005416219807e-17,8.43769498715119e-17,5.329070518200751e-17,,,,,,,,3.1752378504279476e-16,,,,2.486899575160351e-16,,,,1.354472090042691e-16,,7.105427357601002e-15,,,,,,,,
0.067068390481175,0.04133284694244886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6.38378239159465e-17,8.881784197001253e-17,3.9968028886505634e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
